Country,col,n.x,val,Year.x,n.x.x,WPF_mean,Year.x.x,n.y,polity2_M,democ_M,autoc_M,Year.y,Entity,Region,Region_num,polity_Bin,Series,n.y.y,Value,Year.y.y
ARG,ConfGV_M,2,2.91652259134543,2013_2017,9,73.40777777777778,2013_2014_2015_2016_2017_2018_2019_2020_2021,6,8.666666666666666,8.666666666666666,0,2013_2014_2015_2016_2017_2018,Argentina,"Latin America 
&
 Caribbean",4,Democ,GDP per capita (current US$),9,11946.438721856095,2013_2014_2015_2016_2017_2018_2019_2020_2021
ARG,ConfGV_M,2,2.91652259134543,2013_2017,9,73.40777777777778,2013_2014_2015_2016_2017_2018_2019_2020_2021,6,8.666666666666666,8.666666666666666,0,2013_2014_2015_2016_2017_2018,Argentina,"Latin America 
&
 Caribbean",4,Democ,Government Effectiveness: Estimate,9,-0.08840605285432601,2013_2014_2015_2016_2017_2018_2019_2020_2021
ARG,ConfGV_M,2,2.91652259134543,2013_2017,9,73.40777777777778,2013_2014_2015_2016_2017_2018_2019_2020_2021,6,8.666666666666666,8.666666666666666,0,2013_2014_2015_2016_2017_2018,Argentina,"Latin America 
&
 Caribbean",4,Democ,Rule of Law: Estimate,9,-0.4934839622841939,2013_2014_2015_2016_2017_2018_2019_2020_2021
ARG,ConfTV_M,2,2.8565073370565353,2013_2017,9,73.40777777777778,2013_2014_2015_2016_2017_2018_2019_2020_2021,6,8.666666666666666,8.666666666666666,0,2013_2014_2015_2016_2017_2018,Argentina,"Latin America 
&
 Caribbean",4,Democ,GDP per capita (current US$),9,11946.438721856095,2013_2014_2015_2016_2017_2018_2019_2020_2021
ARG,ConfTV_M,2,2.8565073370565353,2013_2017,9,73.40777777777778,2013_2014_2015_2016_2017_2018_2019_2020_2021,6,8.666666666666666,8.666666666666666,0,2013_2014_2015_2016_2017_2018,Argentina,"Latin America 
&
 Caribbean",4,Democ,Government Effectiveness: Estimate,9,-0.08840605285432601,2013_2014_2015_2016_2017_2018_2019_2020_2021
ARG,ConfTV_M,2,2.8565073370565353,2013_2017,9,73.40777777777778,2013_2014_2015_2016_2017_2018_2019_2020_2021,6,8.666666666666666,8.666666666666666,0,2013_2014_2015_2016_2017_2018,Argentina,"Latin America 
&
 Caribbean",4,Democ,Rule of Law: Estimate,9,-0.4934839622841939,2013_2014_2015_2016_2017_2018_2019_2020_2021
ARG,FightForCountry_M,2,0.5276742245096675,2013_2017,9,73.40777777777778,2013_2014_2015_2016_2017_2018_2019_2020_2021,6,8.666666666666666,8.666666666666666,0,2013_2014_2015_2016_2017_2018,Argentina,"Latin America 
&
 Caribbean",4,Democ,GDP per capita (current US$),9,11946.438721856095,2013_2014_2015_2016_2017_2018_2019_2020_2021
ARG,FightForCountry_M,2,0.5276742245096675,2013_2017,9,73.40777777777778,2013_2014_2015_2016_2017_2018_2019_2020_2021,6,8.666666666666666,8.666666666666666,0,2013_2014_2015_2016_2017_2018,Argentina,"Latin America 
&
 Caribbean",4,Democ,Government Effectiveness: Estimate,9,-0.08840605285432601,2013_2014_2015_2016_2017_2018_2019_2020_2021
ARG,FightForCountry_M,2,0.5276742245096675,2013_2017,9,73.40777777777778,2013_2014_2015_2016_2017_2018_2019_2020_2021,6,8.666666666666666,8.666666666666666,0,2013_2014_2015_2016_2017_2018,Argentina,"Latin America 
&
 Caribbean",4,Democ,Rule of Law: Estimate,9,-0.4934839622841939,2013_2014_2015_2016_2017_2018_2019_2020_2021
ARG,GeneralTrust_M,2,0.219430241976309,2013_2017,9,73.40777777777778,2013_2014_2015_2016_2017_2018_2019_2020_2021,6,8.666666666666666,8.666666666666666,0,2013_2014_2015_2016_2017_2018,Argentina,"Latin America 
&
 Caribbean",4,Democ,GDP per capita (current US$),9,11946.438721856095,2013_2014_2015_2016_2017_2018_2019_2020_2021
