ID,session,cond,group_id,round,block,player,contribution,payoff,mean_contr_disp,mean_payoff_disp
1011,1,disp,20,1,1,A,18,24,13.75,28.25
1011,1,disp,20,1,1,B,15,27,13.75,28.25
1011,1,disp,20,1,1,C,12,30,13.75,28.25
1011,1,disp,20,1,1,P,10,32,13.75,28.25
1011,1,disp,20,2,1,A,15,24,11.75,27.25
1011,1,disp,20,2,1,B,10,29,11.75,27.25
1011,1,disp,20,2,1,C,10,29,11.75,27.25
1011,1,disp,20,2,1,P,12,27,11.75,27.25
1011,1,disp,20,3,1,A,12,23,9.5,25.5
1011,1,disp,20,3,1,B,12,23,9.5,25.5
1011,1,disp,20,3,1,C,12,23,9.5,25.5
1011,1,disp,20,3,1,P,2,33,9.5,25.5
1011,1,disp,20,4,1,A,9,23,7.5,24.5
1011,1,disp,20,4,1,B,6,26,7.5,24.5
1011,1,disp,20,4,1,C,9,23,7.5,24.5
1011,1,disp,20,4,1,P,6,26,7.5,24.5
1011,1,disp,20,5,1,A,6,25,6.75,24.25
1011,1,disp,20,5,1,B,11,20,6.75,24.25
1011,1,disp,20,5,1,C,2,29,6.75,24.25
1011,1,disp,20,5,1,P,8,23,6.75,24.25
1011,1,disp,20,6,1,A,9,18,4.25,22.75
1011,1,disp,20,6,1,B,3,24,4.25,22.75
1011,1,disp,20,6,1,C,5,22,4.25,22.75
1011,1,disp,20,6,1,P,0,27,4.25,22.75
1011,1,disp,20,7,1,A,6,19,2.75,22.25
1011,1,disp,20,7,1,B,0,25,2.75,22.25
1011,1,disp,20,7,1,C,1,24,2.75,22.25
1011,1,disp,20,7,1,P,4,21,2.75,22.25
1011,1,disp,20,8,1,A,2,21,2,21
1011,1,disp,20,8,1,B,0,23,2,21
1011,1,disp,20,8,1,C,5,18,2,21
1011,1,disp,20,8,1,P,1,22,2,21
1011,1,disp,20,9,1,A,0,22,1,21
1011,1,disp,20,9,1,B,3,19,1,21
1011,1,disp,20,9,1,C,1,21,1,21
1011,1,disp,20,9,1,P,0,22,1,21
1011,1,disp,20,10,1,A,2,20,1.25,20.75
1011,1,disp,20,10,1,B,1,21,1.25,20.75
1011,1,disp,20,10,1,C,1,21,1.25,20.75
1011,1,disp,20,10,1,P,1,21,1.25,20.75
1011,1,disp,20,11,1,A,0,26,3.5,22.5
1011,1,disp,20,11,1,B,4,22,3.5,22.5
1011,1,disp,20,11,1,C,5,21,3.5,22.5
1011,1,disp,20,11,1,P,5,21,3.5,22.5
1011,1,disp,20,12,1,A,1,26,4.5,22.5
1011,1,disp,20,12,1,B,3,24,4.5,22.5
1011,1,disp,20,12,1,C,7,20,4.5,22.5
1011,1,disp,20,12,1,P,7,20,4.5,22.5
1011,1,disp,20,13,1,A,4,23,4.5,22.5
1011,1,disp,20,13,1,B,0,27,4.5,22.5
1011,1,disp,20,13,1,C,8,19,4.5,22.5
1011,1,disp,20,13,1,P,6,21,4.5,22.5
1011,1,disp,20,14,1,A,1,28,5.25,23.75
1011,1,disp,20,14,1,B,6,23,5.25,23.75
1011,1,disp,20,14,1,C,6,23,5.25,23.75
1011,1,disp,20,14,1,P,8,21,5.25,23.75
1011,1,disp,20,15,1,A,8,20,4.75,23.25
1011,1,disp,20,15,1,B,0,28,4.75,23.25
1011,1,disp,20,15,1,C,4,24,4.75,23.25
1011,1,disp,20,15,1,P,7,21,4.75,23.25
1011,1,disp,20,16,1,A,5,21,3.75,22.25
1011,1,disp,20,16,1,B,3,23,3.75,22.25
1011,1,disp,20,16,1,C,1,25,3.75,22.25
1011,1,disp,20,16,1,P,6,20,3.75,22.25
1011,1,disp,20,17,1,A,6,18,2.25,21.75
1011,1,disp,20,17,1,B,2,22,2.25,21.75
1011,1,disp,20,17,1,C,1,23,2.25,21.75
1011,1,disp,20,17,1,P,0,24,2.25,21.75
1011,1,disp,20,18,1,A,1,24,3,22
1011,1,disp,20,18,1,B,5,20,3,22
1011,1,disp,20,18,1,C,4,21,3,22
1011,1,disp,20,18,1,P,2,23,3,22
1011,1,disp,20,19,1,A,2,24,3.5,22.5
1011,1,disp,20,19,1,B,4,22,3.5,22.5
1011,1,disp,20,19,1,C,4,22,3.5,22.5
1011,1,disp,20,19,1,P,4,22,3.5,22.5
1011,1,disp,20,20,1,A,8,17,2.75,22.25
1011,1,disp,20,20,1,B,0,25,2.75,22.25
1011,1,disp,20,20,1,C,0,25,2.75,22.25
1011,1,disp,20,20,1,P,3,22,2.75,22.25
1011,1,disp,20,21,1,A,3,20,2,21
1011,1,disp,20,21,1,B,3,20,2,21
1011,1,disp,20,21,1,C,2,21,2,21
1011,1,disp,20,21,1,P,0,23,2,21
1011,1,disp,20,22,1,A,0,23,1.75,21.25
1011,1,disp,20,22,1,B,3,20,1.75,21.25
1011,1,disp,20,22,1,C,3,20,1.75,21.25
1011,1,disp,20,22,1,P,1,22,1.75,21.25
1011,1,disp,20,23,1,A,0,22,1.25,20.75
1011,1,disp,20,23,1,B,0,22,1.25,20.75
1011,1,disp,20,23,1,C,3,19,1.25,20.75
1011,1,disp,20,23,1,P,2,20,1.25,20.75
1011,1,disp,20,24,1,A,4,20,2.25,21.75
1011,1,disp,20,24,1,B,3,21,2.25,21.75
1011,1,disp,20,24,1,C,2,22,2.25,21.75
1011,1,disp,20,24,1,P,0,24,2.25,21.75
1011,1,disp,20,25,1,A,2,21,1.75,21.25
